__name__,container,cpu,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service,value
container_cpu_usage_seconds_total,controller,total,https-metrics,/kubepods/burstable/pod2ab3c8a8-f548-4d20-9ec8-9da7f7b12f3f/bade2319d8807e24c70dcf97618ddb7b3a224274867ccb830e0ac972ecd6753e,registry.k8s.io/ingress-nginx/controller@sha256:b3aba22b1da80e7acfc52b115cae1d4c687172cbf2b742d5b502419c25ff340e,10.0.1.100:10250,kubelet,/metrics/cadvisor,bade2319d8807e24c70dcf97618ddb7b3a224274867ccb830e0ac972ecd6753e,ingress-nginx,worker-nbg1-1,ingress-nginx-controller-748b9689bf-2kkt2,kube-prometheus-stack-kubelet,3706.184986
container_cpu_usage_seconds_total,controller,total,https-metrics,/kubepods/burstable/pod655907a0-2927-4080-a885-a009c8beede8/61336feaa1a4b7aa4b3b23afe6fba9b731e6a151885b86ef1784c3bc182b51a0,registry.k8s.io/ingress-nginx/controller@sha256:b3aba22b1da80e7acfc52b115cae1d4c687172cbf2b742d5b502419c25ff340e,10.0.1.101:10250,kubelet,/metrics/cadvisor,61336feaa1a4b7aa4b3b23afe6fba9b731e6a151885b86ef1784c3bc182b51a0,ingress-nginx,worker-nbg1-2,ingress-nginx-controller-748b9689bf-2hbpr,kube-prometheus-stack-kubelet,2612.681717
container_cpu_usage_seconds_total,coredns,total,https-metrics,/kubepods/burstable/pod1e6e2c59-172e-4b2f-9211-de5bb60eccdf/b89ee0b54104106d914262b2f9199bbd88aa461dbb8ceeda376c9806aa811232,docker.io/coredns/coredns:1.10.1,10.0.1.50:10250,kubelet,/metrics/cadvisor,b89ee0b54104106d914262b2f9199bbd88aa461dbb8ceeda376c9806aa811232,kube-system,controlplane-nbg1-1,coredns-d779cc7ff-rb4kt,kube-prometheus-stack-kubelet,5150.696902
container_cpu_usage_seconds_total,coredns,total,https-metrics,/kubepods/burstable/pod83c4c2b1-4c90-4c02-a7fa-6a223c9f097c/f8d93b21c3ebfefe1c2998e6281a59ed2a6403e21713ed83a9c702de43d39d76,docker.io/coredns/coredns:1.10.1,10.0.1.50:10250,kubelet,/metrics/cadvisor,f8d93b21c3ebfefe1c2998e6281a59ed2a6403e21713ed83a9c702de43d39d76,kube-system,controlplane-nbg1-1,coredns-d779cc7ff-spxvm,kube-prometheus-stack-kubelet,5127.987498
container_cpu_usage_seconds_total,csi-attacher,total,https-metrics,/kubepods/besteffort/poda8805515-7c88-4125-9205-095c9bba84a5/9051f85439c47c41d1bc70b68036c180b74d71142b167a1318d8cf7000378074,registry.k8s.io/sig-storage/csi-attacher:v4.1.0,10.0.1.50:10250,kubelet,/metrics/cadvisor,9051f85439c47c41d1bc70b68036c180b74d71142b167a1318d8cf7000378074,kube-system,controlplane-nbg1-1,hcloud-csi-controller-76b94f8979-mn6jt,kube-prometheus-stack-kubelet,197.224903
container_cpu_usage_seconds_total,csi-node-driver-registrar,total,https-metrics,/kubepods/besteffort/pod1cc50115-90d6-4d2f-aaef-9b29fb796c0e/8a397b8f20ed6ff0404fee1648cf5704483a63ec170fe9543598a9179fa9bcf2,registry.k8s.io/sig-storage/csi-node-driver-registrar:v2.7.0,10.0.1.101:10250,kubelet,/metrics/cadvisor,8a397b8f20ed6ff0404fee1648cf5704483a63ec170fe9543598a9179fa9bcf2,kube-system,worker-nbg1-2,hcloud-csi-node-79k96,kube-prometheus-stack-kubelet,5.917165
container_cpu_usage_seconds_total,csi-node-driver-registrar,total,https-metrics,/kubepods/besteffort/pod6a5c1806-a3d2-4265-9044-f3380e288a68/e6cc4fbc9d3232522a0ab2bb296972d8376e2975d5d6fd4cc5ea5ebe8c7c9ab0,registry.k8s.io/sig-storage/csi-node-driver-registrar:v2.7.0,10.0.1.50:10250,kubelet,/metrics/cadvisor,e6cc4fbc9d3232522a0ab2bb296972d8376e2975d5d6fd4cc5ea5ebe8c7c9ab0,kube-system,controlplane-nbg1-1,hcloud-csi-node-lvhlt,kube-prometheus-stack-kubelet,1.667111
container_cpu_usage_seconds_total,csi-node-driver-registrar,total,https-metrics,/kubepods/besteffort/podf8a16034-11f7-4893-8011-44bd53f344df/7f102f1f91533a234fec34152ac60bbbed98fc7ef3dff848e2b29d229fc5ac48,registry.k8s.io/sig-storage/csi-node-driver-registrar:v2.7.0,10.0.1.100:10250,kubelet,/metrics/cadvisor,7f102f1f91533a234fec34152ac60bbbed98fc7ef3dff848e2b29d229fc5ac48,kube-system,worker-nbg1-1,hcloud-csi-node-8xhhp,kube-prometheus-stack-kubelet,7.48137
container_cpu_usage_seconds_total,csi-provisioner,total,https-metrics,/kubepods/besteffort/poda8805515-7c88-4125-9205-095c9bba84a5/ade507fc40da096ff8248bdcd7f528255decf99290f8f50dad5faa16267d7d68,registry.k8s.io/sig-storage/csi-provisioner:v3.4.0,10.0.1.50:10250,kubelet,/metrics/cadvisor,ade507fc40da096ff8248bdcd7f528255decf99290f8f50dad5faa16267d7d68,kube-system,controlplane-nbg1-1,hcloud-csi-controller-76b94f8979-mn6jt,kube-prometheus-stack-kubelet,1331.433661
container_cpu_usage_seconds_total,csi-resizer,total,https-metrics,/kubepods/besteffort/poda8805515-7c88-4125-9205-095c9bba84a5/7246f93bde616803e50f1d3736a6034ada8487af1e7650c6f6008d2bf5286ef0,registry.k8s.io/sig-storage/csi-resizer:v1.7.0,10.0.1.50:10250,kubelet,/metrics/cadvisor,7246f93bde616803e50f1d3736a6034ada8487af1e7650c6f6008d2bf5286ef0,kube-system,controlplane-nbg1-1,hcloud-csi-controller-76b94f8979-mn6jt,kube-prometheus-stack-kubelet,239.880546
