__name__,container,endpoint,instance,job,namespace,node,pod,resource,service,uid,unit,value
kube_pod_container_resource_limits,fluent-bit,http,10.244.1.67:8080,kube-state-metrics,logging,controlplane-nbg1-1,apps-logging-fluentbit-76kmc,cpu,kube-prometheus-stack-kube-state-metrics,29421749-6678-4d24-9899-db3236b7ef87,core,0.2
kube_pod_container_resource_limits,fluent-bit,http,10.244.1.67:8080,kube-state-metrics,logging,controlplane-nbg1-1,apps-logging-fluentbit-76kmc,memory,kube-prometheus-stack-kube-state-metrics,29421749-6678-4d24-9899-db3236b7ef87,byte,100000000
kube_pod_container_resource_limits,fluent-bit,http,10.244.1.67:8080,kube-state-metrics,logging,worker-nbg1-1,apps-logging-fluentbit-s5xmm,cpu,kube-prometheus-stack-kube-state-metrics,9421b13d-0f2c-44cc-a0a4-9f6fcb55b3a8,core,0.2
kube_pod_container_resource_limits,fluent-bit,http,10.244.1.67:8080,kube-state-metrics,logging,worker-nbg1-1,apps-logging-fluentbit-s5xmm,memory,kube-prometheus-stack-kube-state-metrics,9421b13d-0f2c-44cc-a0a4-9f6fcb55b3a8,byte,100000000
kube_pod_container_resource_limits,fluent-bit,http,10.244.1.67:8080,kube-state-metrics,logging,worker-nbg1-2,apps-logging-fluentbit-vb5rx,cpu,kube-prometheus-stack-kube-state-metrics,07513eda-a4ce-4ce2-9d7f-02173e7d75cc,core,0.2
kube_pod_container_resource_limits,fluent-bit,http,10.244.1.67:8080,kube-state-metrics,logging,worker-nbg1-2,apps-logging-fluentbit-vb5rx,memory,kube-prometheus-stack-kube-state-metrics,07513eda-a4ce-4ce2-9d7f-02173e7d75cc,byte,100000000
kube_pod_container_resource_limits,fluentd,http,10.244.1.67:8080,kube-state-metrics,logging,worker-nbg1-2,apps-logging-fluentd-0,cpu,kube-prometheus-stack-kube-state-metrics,9dd17ead-ce23-4b4f-9cd9-98f77a88a26a,core,1
kube_pod_container_resource_limits,fluentd,http,10.244.1.67:8080,kube-state-metrics,logging,worker-nbg1-2,apps-logging-fluentd-0,memory,kube-prometheus-stack-kube-state-metrics,9dd17ead-ce23-4b4f-9cd9-98f77a88a26a,byte,400000000
kube_pod_container_resource_limits,kibana,http,10.244.1.67:8080,kube-state-metrics,elastic,controlplane-nbg1-1,kibana-kb-6644dcd7b6-v8d4m,cpu,kube-prometheus-stack-kube-state-metrics,c15452d8-7c1d-46cd-b076-ab2ec9a18d23,core,1
kube_pod_container_resource_limits,kibana,http,10.244.1.67:8080,kube-state-metrics,elastic,controlplane-nbg1-1,kibana-kb-6644dcd7b6-v8d4m,memory,kube-prometheus-stack-kube-state-metrics,c15452d8-7c1d-46cd-b076-ab2ec9a18d23,byte,2147483648
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,elastic,worker-nbg1-1,elastic-operator-0,cpu,kube-prometheus-stack-kube-state-metrics,7d051f1a-7408-42b9-bd29-4ca91a1d1d5e,core,1
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,elastic,worker-nbg1-1,elastic-operator-0,memory,kube-prometheus-stack-kube-state-metrics,7d051f1a-7408-42b9-bd29-4ca91a1d1d5e,byte,1073741824
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,helm-controller-7cbfc44f88-zjkzp,cpu,kube-prometheus-stack-kube-state-metrics,1717759e-0c8b-4f3d-a94a-61d1954cfe0c,core,1
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,helm-controller-7cbfc44f88-zjkzp,memory,kube-prometheus-stack-kube-state-metrics,1717759e-0c8b-4f3d-a94a-61d1954cfe0c,byte,1073741824
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,image-automation-controller-679b595d96-mrbgj,cpu,kube-prometheus-stack-kube-state-metrics,f2a3ee96-524a-41a0-a758-c63bff13719c,core,1
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,image-automation-controller-679b595d96-mrbgj,memory,kube-prometheus-stack-kube-state-metrics,f2a3ee96-524a-41a0-a758-c63bff13719c,byte,1073741824
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,image-reflector-controller-9b7d45fc5-rhpsj,cpu,kube-prometheus-stack-kube-state-metrics,cc0431ab-213d-4801-acc2-6e737a9ae67f,core,1
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,image-reflector-controller-9b7d45fc5-rhpsj,memory,kube-prometheus-stack-kube-state-metrics,cc0431ab-213d-4801-acc2-6e737a9ae67f,byte,1073741824
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,kustomize-controller-76dd89c9d4-slpht,cpu,kube-prometheus-stack-kube-state-metrics,f02b1657-a4fe-4fe5-92d7-484fffb0cb50,core,1
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,kustomize-controller-76dd89c9d4-slpht,memory,kube-prometheus-stack-kube-state-metrics,f02b1657-a4fe-4fe5-92d7-484fffb0cb50,byte,1073741824
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,notification-controller-86d886486b-68zhs,cpu,kube-prometheus-stack-kube-state-metrics,9e171e01-432a-4fc4-bb6b-1efa233c6434,core,1
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,notification-controller-86d886486b-68zhs,memory,kube-prometheus-stack-kube-state-metrics,9e171e01-432a-4fc4-bb6b-1efa233c6434,byte,1073741824
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,source-controller-7cfdc467d6-2vjmx,cpu,kube-prometheus-stack-kube-state-metrics,819d4f61-893d-4347-bd60-f42663433b7f,core,1
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,source-controller-7cfdc467d6-2vjmx,memory,kube-prometheus-stack-kube-state-metrics,819d4f61-893d-4347-bd60-f42663433b7f,byte,1073741824
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,worker-nbg1-2,image-reflector-controller-9b7d45fc5-lzzqw,cpu,kube-prometheus-stack-kube-state-metrics,b988c40b-d18f-49cf-aa36-6c27f74e5caf,core,1
kube_pod_container_resource_limits,manager,http,10.244.1.67:8080,kube-state-metrics,flux-system,worker-nbg1-2,image-reflector-controller-9b7d45fc5-lzzqw,memory,kube-prometheus-stack-kube-state-metrics,b988c40b-d18f-49cf-aa36-6c27f74e5caf,byte,1073741824
kube_pod_container_resource_limits,rabbitmq,http,10.244.1.67:8080,kube-state-metrics,rabbitmq,worker-nbg1-1,rabbitmq-0,cpu,kube-prometheus-stack-kube-state-metrics,52c9960e-427d-4e5b-9a95-cb6918e3fe11,core,2
kube_pod_container_resource_limits,rabbitmq,http,10.244.1.67:8080,kube-state-metrics,rabbitmq,worker-nbg1-1,rabbitmq-0,memory,kube-prometheus-stack-kube-state-metrics,52c9960e-427d-4e5b-9a95-cb6918e3fe11,byte,2147483648
